canonical_key,alias_model
KEYSIGHT::34401A,HP34401A
KEYSIGHT::34401A,AGILENT34401A
KEYSIGHT::34401A,34401
KEYSIGHT::34410A,AGILENT34410A
KEYSIGHT::34461A,AGILENT34461A
KEYSIGHT::34970A,HP34970A
KEYSIGHT::34970A,AGILENT34970A
KEYSIGHT::34972A,AGILENT34972A
KEYSIGHT::E3631A,AGILENTE3631A
KEYSIGHT::E3631A,E 3631 A
TEKTRONIX::MSO2024B,MSO 2024B
TEKTRONIX::DPO2024B,DPO 2024B
FLUKE::87V,87-V
FLUKE::8846A,8846 A
NATIONAL INSTRUMENTS::USB-6211,USB 6211
NATIONAL INSTRUMENTS::USB-6211,NI USB-6211
DRUCK::DPI610,DPI-610
MENSOR::CPC6000,CPC 6000
ROHDE & SCHWARZ::FSV7,R&S FSV7
RIGOL::DS1054Z,DS 1054Z
SIGLENT::SDS1104X-E,SDS1104XE
